"","INDEX","TARGET","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","HOME_VAL","TRAVTIME","BLUEBOOK","TIF","OLDCLAIM","CLM_FREQ","MVR_PTS","CAR_AGE"
"189",238,2569,0,24,1,7,6862,0,38,2190,1,11226,1,4,9
"190",239,3079,0,52,0,0,0,0,22,1500,1,0,0,0,7
"191",240,10900,0,57,0,12,210811,0,7,28280,1,3542,1,4,17
"192",242,8809,2,42,3,17,28916,115937,43,8300,4,958,1,4,7
"193",244,3771,1,41,2,15,105563,306854,23,27520,7,35585,2,0,18
"194",245,2668,0,50,0,0,0,0,37,6500,3,0,0,0,1
"195",246,4488,0,43,1,8,23921,0,25,14070,21,3805,1,2,1
"196",247,6868,0,33,1,10,112943,307155,29,16090,2,0,0,0,19
"197",248,5811,1,45,1,10,36365,0,48,20010,4,0,0,3,8
"198",250,6755,0,35,2,10,99325,253542,40,20870,9,1994,2,3,15
"199",251,5455,0,43,0,9,215536,525566,38,36390,6,0,0,1,13
"200",252,6849,0,50,0,9,180783,486015,42,36690,1,0,0,1,16
"201",253,1909,0,38,0,11,71263,193720,34,14980,9,29447,1,0,9
"202",254,20540,0,33,2,14,58973,197613,26,10580,1,0,0,1,1
"203",255,7443,1,36,1,11,109631,277683,15,29960,10,0,0,0,12
"204",256,962,0,35,2,13,8746,127941,50,5370,1,0,0,6,1
"205",257,4439,0,49,0,0,0,0,52,6400,3,0,0,5,9
"206",258,2203,0,55,0,13,74385,188846,61,12520,9,8533,1,7,12
"207",259,6255,1,39,1,12,28626,0,40,5400,6,0,0,4,1
"208",260,2303,0,40,1,13,37958,0,45,13890,4,15849,1,0,10
"209",261,5181,0,33,1,11,13812,154000,49,4800,1,0,0,0,1
"210",262,2553,0,41,0,9,18939,0,50,5600,1,41669,3,1,1
"211",263,22180,0,38,0,11,48207,179539,38,10120,3,1842,3,4,8
"212",264,2398,0,32,2,0,0,0,28,10120,1,3928,2,1,8
"213",265,5600,0,48,0,12,30377,137865,29,6300,1,0,0,0,12
"214",266,3282,0,30,2,12,106722,0,43,26520,7,0,0,0,13
"215",267,3337,2,43,3,14,12284,100519,43,26710,17,0,0,0,7
"216",268,20433,2,42,2,8,57379,0,37,9420,6,5858,2,2,1
"217",269,6075,0,41,2,13,15905,0,35,11830,4,7645,2,1,1
"218",270,3753,1,42,2,9,44661,125809,51,25750,1,7637,2,3,9
"219",271,2804,0,23,3,10,27239,0,53,6520,3,0,0,5,1
"220",272,2088,1,42,3,13,42891,197173,26,22150,15,3790,2,0,6
"221",273,2479,0,43,0,12,66101,247991,42,12410,1,0,0,0,14
"222",274,4544,0,26,3,11,28726,119210,40,17370,1,7081,3,0,9
"223",275,9863,0,30,0,11,112687,292964,24,12770,1,0,0,0,1
"224",276,3971,1,52,1,12,50726,220288,12,1500,7,0,0,0,10
"225",277,2160,0,56,0,14,63535,0,51,13450,11,30094,4,1,4
"226",278,1645,0,57,0,10,216985,0,40,20590,1,0,0,5,13
"227",279,6418,0,58,0,13,103555,322978,49,30580,1,0,0,0,17
"228",280,1185,0,39,0,13,31275,90212,7,5480,1,2904,2,1,1
"229",282,3920,0,31,2,7,35053,125625,28,12860,10,0,0,1,1
"230",283,4025,0,51,0,0,0,100658,30,11750,7,0,0,3,1
"231",284,5103,0,47,0,5,68602,0,36,6200,1,9136,4,2,4
"232",285,7836,0,51,0,0,0,87503,16,6720,1,3029,2,0,8
"233",286,6879,0,40,3,16,52475,0,9,10750,1,0,0,3,16
"234",287,3288,0,62,0,16,103109,344523,41,11810,1,0,0,0,15
"235",289,4021,0,35,1,12,8276,0,13,2330,10,0,0,4,7
"236",290,2327,0,42,0,10,58453,202236,29,9480,4,0,0,1,1
"237",291,29865,1,41,4,8,175783,0,46,21520,11,4082,2,4,17
"238",292,3755,0,30,1,0,0,0,21,4500,1,754,1,0,7
"239",293,3429,0,32,3,14,30969,128776,34,6890,1,36000,4,1,10
"240",296,5297,0,35,2,0,0,59496,21,5000,6,4477,1,0,13
"241",297,4699,0,29,3,0,0,0,12,6720,1,52445,3,5,6
"242",298,6606,0,49,0,12,24513,148422,27,8850,1,1263,1,1,1
"243",299,4799,1,56,2,0,0,0,35,23630,1,10612,3,2,8
"244",301,3244,1,42,1,8,49120,197752,37,10440,1,0,0,0,9
"245",304,6250,0,37,0,10,55242,183992,30,8700,6,33030,2,0,1
"246",305,3408,0,53,0,13,80023,246532,58,20990,4,29379,2,5,9
"247",306,13042,1,45,2,14,28731,0,57,6000,1,0,0,0,1
"248",307,4814,2,56,2,17,28088,154530,46,9910,1,1157,1,3,1
"249",309,4191,0,40,0,11,49978,240143,40,21160,3,0,0,2,15
"250",310,4815,2,59,2,16,109210,324059,32,21880,6,6120,2,6,18
"251",311,5501,0,59,0,11,38141,0,43,15080,6,9575,1,5,6
"252",312,3048,0,61,0,10,9902,103647,31,8590,6,3175,2,4,10
"253",313,1502,0,29,2,14,45299,148600,11,8930,7,5289,1,4,1
"254",314,6452,0,48,0,9,49251,180173,9,11230,7,0,0,0,1
"255",315,2777,0,32,3,16,28430,0,52,4340,4,39168,2,4,1
"256",316,4678,0,39,0,10,31131,0,30,8510,6,37066,2,5,13
"257",317,4621,0,35,2,9,98918,0,27,23740,12,0,0,1,9
"258",318,150,0,37,4,0,0,55527,5,5700,1,4865,1,6,7
"259",321,4034,0,46,0,10,88632,258636,34,15670,3,7864,3,2,9
"260",322,1133,0,49,0,14,45689,250792,42,10970,4,0,0,0,1
"261",323,34748,0,45,0,12,55848,216312,51,11580,6,0,0,1,7
"262",325,3411,0,44,0,12,46781,0,29,17960,11,6545,1,5,15
"263",326,4209,1,54,1,0,0,0,37,10600,1,5493,3,1,8
"264",327,6027,0,29,1,11,101767,284160,48,14580,6,25433,3,1,9
"265",328,3295,0,58,0,12,61265,208445,49,3230,10,0,0,2,9
"266",329,4933,0,41,3,15,33888,177209,38,19580,3,0,0,3,6
"267",330,3668,0,33,5,16,28395,137268,65,23450,7,20060,1,2,1
"268",332,1029,1,39,1,12,69464,199330,18,5400,1,7940,3,4,15
"269",333,5142,0,42,2,14,20586,142997,47,7760,4,0,0,0,1
"270",334,648,0,44,0,10,53660,232498,5,34260,1,3783,4,4,6
"271",335,4754,0,39,0,14,28830,0,50,18930,1,0,0,5,1
"272",336,24720,0,61,0,10,46161,197331,24,12220,1,25313,3,3,1
"273",337,540,0,23,5,14,11666,109363,26,5080,6,0,0,4,1
"274",338,54928,0,52,0,9,140534,387349,66,21620,6,0,0,0,7
"275",339,4123,0,31,4,14,48317,133939,15,1500,1,26686,1,1,1
"276",340,4809,0,40,0,0,0,0,56,5260,1,0,0,0,1
"277",341,4610,0,58,0,12,71101,266848,40,14160,1,43052,2,6,5
"278",342,3463,0,30,2,14,137394,0,52,19340,6,32990,2,0,17
"279",344,1166,0,37,0,8,95502,0,37,37180,1,1681,1,0,11
"280",345,5520,0,29,2,12,54310,174139,39,1500,4,5419,1,5,6
"281",346,7463,0,51,0,10,81246,231151,38,11160,13,0,0,0,14
"282",349,4155,0,37,2,13,4319,0,36,9960,6,0,0,3,1
"283",351,4209,0,39,0,13,22348,0,26,13150,1,5484,1,0,1
"284",352,3626,0,58,0,16,6657,0,23,4790,1,37285,3,4,7
"285",353,3332,0,35,1,13,72167,0,31,19700,5,7276,2,7,13
"286",354,3760,0,26,1,9,73655,0,44,9150,13,7303,2,5,7
"287",355,2856,0,38,2,14,58833,193644,41,20750,1,8403,1,6,10
"288",356,5458,2,45,3,17,45828,0,64,19550,10,0,0,5,14
"289",359,7692,2,38,3,11,145073,406547,15,19810,6,0,0,0,12
"290",361,2193,1,40,2,12,4344,69014,38,22010,1,3226,2,5,7
"291",362,1749,0,22,0,10,5442,0,46,3800,1,30922,2,6,1
"292",363,4617,0,38,2,10,53532,0,53,10650,1,6697,3,4,4
"293",364,22244,0,42,0,6,82608,0,41,20730,6,0,0,2,1
"294",365,33591,0,49,0,11,13148,159195,71,12540,6,0,0,5,8
"295",369,1758,0,65,0,0,0,94474,24,8000,1,37129,2,0,6
"296",370,4289,0,47,0,10,57607,0,24,12970,10,8917,1,5,1
"297",371,5884,0,34,0,9,31052,116137,63,13700,5,0,0,2,7
"298",372,1669,0,51,0,11,65979,164614,35,19990,4,0,0,0,1
"299",373,2034,0,36,2,12,39400,152463,54,5100,1,0,0,0,1
"300",374,2753,1,37,2,0,0,80883,26,7070,1,982,3,1,6
"301",375,4868,0,47,0,0,0,121454,23,23060,17,8752,3,0,18
"302",377,4451,0,37,0,12,102604,276929,38,21620,7,5222,1,2,1
"303",378,4699,0,65,0,15,22481,127617,14,11340,9,33075,1,0,1
"304",379,4419,0,52,0,7,64531,0,34,6700,10,5524,2,2,16
"305",381,3643,1,37,2,7,89343,251826,64,14130,1,6265,2,0,8
"306",382,931,0,34,0,5,59972,165806,51,23040,1,0,0,3,7
"307",383,7406,2,40,2,14,12339,107774,47,22310,1,3816,3,5,15
"308",384,3333,0,38,1,0,0,0,17,5850,6,5090,1,6,8
"309",385,8484,0,29,2,13,26413,172043,29,16200,4,0,0,1,1
"310",386,8162,0,62,0,12,34033,0,69,11100,14,4821,3,7,1
"311",387,5629,0,38,0,4,22036,158037,32,7500,6,9416,1,2,9
"312",389,4027,0,35,1,0,0,0,53,11630,1,9624,2,6,1
"313",390,3440,0,33,3,0,0,0,34,7810,1,31379,5,5,6
"314",391,6111,2,40,2,5,16575,158720,34,7160,3,0,0,2,1
"315",392,1335,0,45,0,10,67263,212757,50,32270,7,0,0,0,11
"316",393,27254,0,29,1,9,445,97183,32,16060,10,2555,3,0,13
"317",394,16012,2,42,2,17,51608,169843,35,10860,3,7497,1,5,1
"318",395,1070,0,52,0,13,77351,187879,51,6700,10,5984,2,6,16
"319",397,6431,0,49,0,11,52485,0,40,19830,4,0,0,3,18
"320",399,5110,0,42,0,0,0,0,13,5700,10,0,0,5,1
"321",400,5485,0,54,0,14,81524,323383,50,10650,1,0,0,0,15
"322",401,1438,0,43,2,0,0,117111,44,5800,6,4959,1,3,6
"323",402,9623,0,33,1,14,46780,142430,38,9480,9,6937,2,5,1
"324",404,4415,1,43,1,13,65779,190317,29,14850,1,35737,3,4,17
"325",405,6673,1,36,2,0,0,0,26,12370,10,3373,2,1,1
"326",406,6761,0,43,0,12,13349,140323,45,9470,4,0,0,3,6
"327",407,4368,0,38,2,11,43036,0,49,9600,6,4111,1,0,4
"328",408,3084,0,53,0,0,0,116797,25,12380,1,29865,2,0,12
"329",409,1043,0,43,1,0,0,0,27,7770,1,32562,1,6,5
"330",411,3343,0,61,0,16,41801,210979,26,19030,1,8377,2,6,7
"331",413,1793,0,61,0,9,28390,171805,43,14350,7,0,0,2,11
"332",414,9470,1,40,2,0,0,0,26,21340,1,0,0,1,1
"333",415,5802,0,28,3,11,57417,144443,37,15640,1,7628,2,0,8
"334",416,2464,0,67,0,13,45368,190399,33,17760,4,0,0,0,13
"335",417,6057,0,60,0,13,8250,113386,14,8330,1,3730,1,2,1
"336",418,5637,0,22,0,0,0,0,63,13520,4,28386,2,2,1
"337",419,1482,2,39,3,12,39619,183660,42,9360,13,1218,2,3,10
"338",421,3254,0,40,3,13,44431,178105,47,12460,1,0,0,1,6
"339",422,6086,1,36,2,14,20926,122046,23,8390,6,1429,3,0,1
"340",423,4197,0,42,0,13,58008,213887,54,18610,1,0,0,0,1
"341",424,5372,0,61,0,14,65775,199244,57,28170,4,0,0,4,18
"342",425,5132,0,48,0,11,53878,220705,29,11690,1,26114,3,7,1
"343",426,664,0,44,2,14,82068,215344,26,8980,1,4423,2,0,12
"344",427,4085,0,28,1,9,28600,0,32,24560,7,20778,3,6,1
"345",428,6686,0,35,0,10,70274,0,32,12030,10,29205,3,0,13
"346",429,3931,0,38,0,12,21119,136098,24,12180,10,3252,3,4,4
"347",430,2593,0,40,0,12,2289,0,21,5730,4,0,0,2,1
"348",431,1442,0,58,0,6,123288,366424,25,7000,1,50111,4,1,17
"349",432,2908,0,34,0,11,76847,0,34,15870,4,0,0,2,8
"350",433,2967,0,47,0,10,31456,148339,56,1500,1,3278,1,3,1
"351",435,1026,0,47,0,6,25871,193683,38,15330,1,0,0,6,9
"352",436,1342,0,44,2,13,27039,0,49,11270,6,2189,2,5,7
"353",437,5967,0,36,0,9,110873,0,50,24730,6,0,0,0,7
"354",438,34302,2,39,2,13,92000,301965,50,14600,1,6627,3,2,1
"355",439,4344,1,39,2,13,31138,160202,38,9830,1,4582,2,5,1
"356",441,3444,0,30,2,0,0,0,23,14500,1,0,0,0,6
"357",442,4943,0,35,1,12,75165,253077,32,11290,6,0,0,1,14
"358",443,18084,0,49,0,7,225083,0,53,50970,11,6364,1,5,14
"359",444,5295,1,36,2,14,118971,0,44,31390,1,0,0,0,14
"360",445,7940,0,54,0,0,0,67587,28,6900,1,856,1,4,13
"361",446,1914,0,56,0,16,44940,196891,39,15320,1,0,0,2,9
"362",447,1107,1,42,3,7,85819,262789,45,5700,1,5699,3,1,14
"363",448,2161,0,23,4,9,5367,75782,14,22550,7,6027,3,10,1
"364",449,2820,0,28,3,14,10518,107763,50,5800,4,6755,1,1,17
"365",451,1448,0,43,0,15,59115,229294,18,20850,6,7946,1,0,1
"366",452,5084,0,57,0,9,51060,0,35,33220,1,4678,3,2,8
"367",454,9824,0,27,1,13,43083,138247,29,20950,6,5737,3,9,1
"368",455,4716,0,37,0,10,109732,0,70,11740,1,9883,1,3,14
"369",456,4805,0,50,0,15,41447,148330,14,6500,1,0,0,0,7
"370",457,6132,0,51,0,8,77830,96484,37,9530,1,0,0,0,17
"371",458,6535,0,50,0,6,55230,0,36,24950,5,4997,3,7,6
"372",459,2840,0,47,0,10,129926,0,62,19190,1,0,0,2,9
