INDEX,TARGET,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,HOME_VAL,TRAVTIME,BLUEBOOK,TIF,OLDCLAIM,CLM_FREQ,MVR_PTS,CAR_AGE
266,3282,0,30,2,12,106722,0,43,26520,7,0,0,0,13
267,3337,2,43,3,14,12284,100519,43,26710,17,0,0,0,7
268,20433,2,42,2,8,57379,0,37,9420,6,5858,2,2,1
269,6075,0,41,2,13,,0,35,11830,4,7645,2,1,1
270,3753,1,42,2,9,44661,,51,25750,1,7637,2,3,9
271,2804,0,23,3,10,27239,0,53,6520,3,0,0,5,1
272,2088,1,42,3,13,42891,197173,26,22150,15,3790,2,0,6
273,2479,0,43,0,12,66101,247991,42,12410,1,0,0,0,14
274,4544,0,26,3,11,28726,119210,40,17370,1,7081,3,0,9
275,9863,0,30,0,11,112687,292964,24,12770,1,0,0,0,1
276,3971,1,52,1,12,50726,220288,12,1500,7,0,0,0,10
277,2160,0,56,0,14,63535,0,51,13450,11,30094,4,1,4
278,1645,0,57,0,10,216985,0,40,20590,1,0,0,5,13
279,6418,0,58,0,13,103555,322978,49,30580,1,0,0,0,17
280,1185,0,39,0,13,,90212,7,5480,1,2904,2,1,1
282,3920,0,31,2,7,35053,125625,28,12860,10,0,0,1,1
283,4025,0,51,0,0,0,100658,30,11750,7,0,0,3,
284,5103,0,47,0,5,68602,0,36,6200,1,9136,4,2,4
285,7836,0,51,0,0,0,87503,16,6720,1,3029,2,0,
286,6879,0,40,3,16,52475,0,9,10750,1,0,0,3,16
287,3288,0,62,0,16,103109,344523,41,11810,1,0,0,0,15
289,4021,0,35,1,12,8276,0,13,2330,10,0,0,4,7
290,2327,0,42,0,10,58453,202236,29,9480,4,0,0,1,
291,29865,1,41,4,8,175783,0,46,21520,11,4082,2,4,17
292,3755,0,30,1,0,0,0,21,4500,1,754,1,0,7
293,3429,0,32,3,14,,128776,34,6890,1,36000,4,1,
296,5297,0,35,2,0,0,59496,21,5000,6,4477,1,0,13
297,4699,0,29,3,0,0,0,12,6720,1,52445,3,5,6
298,6606,0,49,0,12,24513,148422,27,8850,1,1263,1,1,1
299,4799,1,56,2,0,0,0,35,23630,1,10612,3,2,8
301,3244,1,42,1,,49120,197752,37,10440,1,0,0,0,9
304,6250,0,37,0,10,55242,183992,30,8700,6,33030,2,0,1
305,3408,0,53,0,13,80023,246532,58,20990,4,29379,2,5,9
306,13042,1,45,2,14,28731,0,57,6000,1,0,0,0,1
307,4814,2,56,2,17,28088,154530,46,9910,1,1157,1,3,1
309,4191,0,40,0,11,49978,240143,40,21160,3,0,0,2,15
310,4815,2,59,2,16,109210,324059,32,21880,6,6120,2,6,18
311,5501,0,59,0,11,38141,0,43,15080,6,9575,1,5,6
312,3048,0,61,0,10,9902,103647,31,8590,6,3175,2,4,10
313,1502,0,29,2,14,45299,148600,11,8930,7,5289,1,4,1
314,6452,0,48,0,9,49251,180173,9,11230,7,0,0,0,1
315,2777,0,32,3,16,28430,0,52,4340,4,39168,2,4,1
316,4678,0,39,0,10,31131,0,30,8510,6,37066,2,5,13
317,4621,0,35,2,9,98918,0,27,23740,12,0,0,1,9
318,150,0,37,4,0,,55527,5,5700,1,4865,1,6,7
321,4034,0,46,0,10,88632,258636,34,15670,3,7864,3,2,9
322,1133,0,49,0,14,45689,250792,42,10970,4,0,0,0,1
323,34748,0,45,0,,55848,216312,51,11580,6,0,0,1,7
325,3411,0,44,0,12,46781,0,29,17960,11,6545,1,5,15
326,4209,1,54,1,0,0,0,37,10600,1,5493,3,1,8
327,6027,0,29,1,11,101767,284160,48,14580,6,25433,3,1,9
328,3295,0,58,0,12,61265,208445,49,3230,10,0,0,2,9
329,4933,0,41,3,15,,177209,38,19580,3,0,0,3,6
330,3668,0,33,5,16,28395,137268,65,23450,7,20060,1,2,1
332,1029,1,39,1,12,69464,199330,18,5400,1,7940,3,4,15
333,5142,0,42,2,14,20586,142997,47,7760,4,0,0,0,1
334,648,0,44,0,10,53660,232498,5,34260,1,3783,4,4,
335,4754,0,39,0,14,28830,0,50,18930,1,0,0,5,1
336,24720,0,61,0,10,46161,197331,24,12220,1,25313,3,3,
337,540,0,23,5,14,11666,109363,26,5080,6,0,0,4,1
338,54928,0,52,0,9,140534,387349,66,21620,6,0,0,0,7
339,4123,0,31,4,14,48317,133939,15,1500,1,26686,1,1,1
340,4809,0,40,0,0,0,0,56,5260,1,0,0,0,1
341,4610,0,58,0,12,71101,266848,40,14160,1,43052,2,6,5
342,3463,0,30,2,14,,0,52,19340,6,32990,2,0,17
344,1166,0,37,0,8,95502,0,37,37180,1,1681,1,0,11
345,5520,0,29,2,12,54310,174139,39,1500,4,5419,1,5,6
346,7463,0,51,0,10,81246,231151,38,11160,13,0,0,0,
349,4155,0,37,2,13,4319,0,36,9960,6,0,0,3,1
351,4209,0,39,0,13,22348,0,26,13150,1,5484,1,0,1
352,3626,0,58,0,16,6657,0,23,4790,1,37285,3,4,7
353,3332,0,35,1,13,72167,0,31,19700,5,7276,2,7,13
354,3760,0,26,1,9,73655,0,44,9150,13,7303,2,5,7
355,2856,0,38,2,14,58833,193644,41,20750,1,8403,1,6,10
356,5458,2,45,3,17,,0,64,19550,10,0,0,5,14
359,7692,2,38,3,11,145073,406547,15,19810,6,0,0,0,12
361,2193,1,40,2,12,4344,69014,38,22010,1,3226,2,5,
362,1749,0,22,0,10,5442,0,46,3800,1,30922,2,6,1
363,4617,0,38,2,10,53532,0,53,10650,1,6697,3,4,4
364,22244,0,42,0,6,82608,0,41,20730,6,0,0,2,1
365,33591,0,49,0,11,13148,159195,71,12540,6,0,0,5,8
369,1758,0,65,0,0,0,94474,24,8000,1,37129,2,0,6
370,4289,0,47,0,10,57607,0,24,12970,10,8917,1,5,1
371,5884,0,34,0,9,31052,116137,63,13700,5,0,0,2,7
372,1669,0,51,0,11,65979,164614,35,19990,4,0,0,0,1
373,2034,0,36,2,12,39400,152463,54,5100,1,0,0,0,1
374,2753,1,37,2,0,0,80883,26,7070,1,982,3,1,6
375,4868,0,47,0,0,0,121454,23,23060,17,8752,3,0,18
377,4451,0,37,0,12,102604,276929,38,21620,7,5222,1,2,1
378,4699,0,65,0,15,22481,127617,14,11340,9,33075,1,0,1
379,4419,0,52,0,7,64531,0,34,6700,10,5524,2,2,16
381,3643,1,37,2,7,89343,251826,64,14130,1,6265,2,0,8
382,931,0,34,0,5,59972,165806,51,23040,1,0,0,3,7
383,7406,2,40,2,14,12339,107774,47,22310,1,3816,3,5,15
384,3333,0,38,1,0,0,0,17,5850,6,5090,1,6,8
385,8484,0,29,2,13,26413,172043,29,16200,4,0,0,1,1
386,8162,0,62,0,12,34033,0,69,11100,14,4821,3,7,1
387,5629,0,38,0,4,22036,158037,32,7500,6,9416,1,2,
389,4027,0,35,1,0,0,0,53,11630,1,9624,2,6,1
390,3440,0,33,3,0,0,0,34,7810,1,31379,5,5,6
391,6111,2,40,2,5,16575,158720,34,7160,3,0,0,2,1
392,1335,0,45,0,10,67263,212757,50,32270,7,0,0,0,
393,27254,0,29,1,9,445,97183,32,16060,10,2555,3,0,13
394,16012,2,42,2,17,51608,169843,35,10860,3,7497,1,5,1
395,1070,0,52,0,13,77351,187879,51,6700,10,5984,2,6,16
397,6431,0,49,0,11,52485,0,40,19830,4,0,0,3,18
399,5110,0,42,0,0,0,0,13,5700,10,0,0,5,1
400,5485,0,54,0,14,81524,,50,10650,1,0,0,0,15
401,1438,0,43,2,0,0,117111,44,5800,6,4959,1,3,6
402,9623,0,33,1,14,46780,142430,38,9480,9,6937,2,5,1
404,4415,1,43,1,13,65779,190317,29,14850,1,35737,3,4,17
405,6673,1,36,2,0,0,0,26,12370,10,3373,2,1,1
406,6761,0,43,0,12,13349,140323,45,9470,4,0,0,3,6
407,4368,0,38,2,11,43036,0,49,9600,6,4111,1,0,4
408,3084,0,53,0,0,0,116797,25,12380,1,29865,2,0,12
409,1043,0,43,1,0,0,0,27,7770,1,32562,1,6,5
411,3343,0,61,0,16,41801,210979,26,19030,1,8377,2,6,7
413,1793,0,61,0,9,28390,171805,43,14350,7,0,0,2,11
414,9470,1,40,2,0,0,0,26,21340,1,0,0,1,1
415,5802,0,28,3,11,57417,144443,37,15640,1,7628,2,0,8
416,2464,0,67,0,13,45368,190399,33,17760,4,0,0,0,13
417,6057,0,60,0,13,8250,113386,14,8330,1,3730,1,2,1
418,5637,0,22,0,0,0,0,63,13520,4,28386,2,2,1
419,1482,2,39,3,12,39619,183660,42,9360,13,1218,2,3,10
421,3254,0,40,3,13,44431,178105,47,12460,1,0,0,1,6
422,6086,1,36,2,14,20926,122046,23,8390,6,1429,3,0,1
423,4197,0,42,0,13,58008,213887,54,18610,1,0,0,0,1
424,5372,0,61,0,14,65775,199244,57,28170,4,0,0,4,18
425,5132,0,48,0,11,53878,220705,29,11690,1,26114,3,7,1
426,664,0,44,2,14,82068,215344,26,8980,1,4423,2,0,12
427,4085,0,28,1,9,,0,32,24560,7,20778,3,6,1
428,6686,0,35,0,10,70274,0,32,12030,10,29205,3,0,13
429,3931,0,38,0,12,21119,136098,24,12180,10,3252,3,4,4
430,2593,0,40,0,12,2289,0,21,5730,4,0,0,2,1
431,1442,0,58,0,6,123288,366424,25,7000,1,50111,4,1,17
432,2908,0,34,0,11,76847,0,34,15870,4,0,0,2,8
433,2967,0,47,0,10,31456,148339,56,1500,1,3278,1,3,1
435,1026,0,47,0,6,25871,193683,38,15330,1,0,0,6,9
436,1342,0,44,2,,27039,0,49,11270,6,2189,2,5,7
437,5967,0,36,0,9,110873,0,50,24730,6,0,0,0,7
438,34302,2,39,2,13,92000,301965,50,14600,1,6627,3,2,1
439,4344,1,39,2,13,31138,160202,38,9830,1,4582,2,5,1
441,3444,0,,2,0,0,0,23,14500,1,0,0,0,6
442,4943,0,35,1,12,75165,253077,32,11290,6,0,0,1,14
443,18084,0,49,0,7,225083,0,53,50970,11,6364,1,5,14
444,5295,1,36,2,14,118971,0,44,31390,1,0,0,0,14
445,7940,0,54,0,0,0,67587,28,6900,1,856,1,4,13
446,1914,0,56,0,16,44940,196891,39,15320,1,0,0,2,9
447,1107,1,42,3,7,85819,262789,45,5700,1,5699,3,1,14
448,2161,0,23,4,9,5367,75782,14,22550,7,6027,3,10,1
449,2820,0,28,3,14,10518,107763,50,5800,4,6755,1,1,
451,1448,0,43,0,15,,229294,18,20850,6,7946,1,0,1
452,5084,0,57,0,9,51060,,35,33220,1,4678,3,2,8
454,9824,0,27,1,13,43083,138247,29,20950,6,5737,3,9,1
455,4716,0,37,0,,109732,0,70,11740,1,9883,1,3,14
456,4805,0,50,0,15,41447,148330,14,6500,1,0,0,0,7
457,6132,0,51,0,8,,96484,37,9530,1,0,0,0,17
458,6535,0,50,0,6,55230,0,36,24950,5,4997,3,7,6
459,2840,0,47,0,10,129926,0,62,19190,1,0,0,2,9
460,464,0,36,1,12,26587,0,45,5100,7,4936,1,5,1
461,1842,0,34,1,13,79957,172461,47,12510,12,0,0,0,9
462,5905,0,38,0,,17028,0,26,14160,6,5511,1,0,1
463,3609,0,57,0,15,44108,0,45,21720,4,0,0,2,1
467,6836,1,42,2,0,0,97022,39,14840,1,6844,1,1,1
468,5138,0,56,0,12,278,91930,58,1530,6,4611,2,5,8
469,2474,0,32,1,2,50522,0,15,9750,17,6691,2,6,9
470,3366,0,47,0,12,21063,117381,42,20730,4,4652,2,1,6
471,5316,0,34,1,14,9699,107132,39,18120,4,6801,1,3,7
472,4347,0,36,1,8,40339,173090,41,22200,6,0,0,3,8
474,8702,0,54,0,0,0,0,28,25020,7,44429,3,7,7
475,4589,0,33,1,8,77719,0,39,9250,6,0,0,0,1
477,1432,0,43,0,12,57712,,24,7270,1,0,0,1,19
480,6796,0,46,0,6,59927,0,24,19410,10,0,0,0,11
481,3405,0,51,0,11,43654,167541,38,11590,6,4383,4,0,11
482,1498,2,37,2,11,16238,65155,33,6820,6,5612,4,0,1
483,7919,0,38,3,16,15889,95776,46,30050,1,13182,1,1,9
484,1680,0,45,0,9,72702,221350,43,13270,1,4740,2,5,6
485,4252,0,62,1,15,68063,269614,45,12620,1,34151,2,3,1
486,8374,0,46,0,0,0,111439,29,6100,1,0,0,0,4
487,19089,0,26,4,9,45254,196146,32,23270,7,4567,1,5,9
488,3361,1,40,1,10,131449,0,18,31080,13,6895,3,4,11
489,2081,0,35,0,13,7163,0,50,6580,6,0,0,1,9
490,7803,0,39,0,11,79594,0,29,20660,3,2299,3,5,
491,5069,0,60,0,,32607,176839,31,23360,4,0,0,0,
492,3865,0,42,0,12,52792,213473,29,10980,1,0,0,0,8
494,6597,0,52,0,7,132280,388651,33,27590,4,0,0,0,14
495,5970,0,33,4,14,30504,0,33,7850,6,0,0,0,
496,1133,0,25,1,12,17352,112808,9,9250,14,0,0,0,6
498,3997,0,40,0,12,108059,0,29,22070,4,0,0,2,11
499,4521,0,53,0,11,58691,255524,5,12670,6,1208,1,3,15
500,4805,0,50,0,9,78083,0,32,19310,4,27959,1,0,1
501,316,1,36,2,16,40983,142139,5,33960,4,1200,2,7,1
502,3858,0,46,0,8,75614,188804,35,13660,4,0,0,3,14
506,1465,0,51,0,13,46570,0,59,35990,10,0,0,0,17
508,3172,0,27,4,0,0,0,45,4400,7,0,0,1,1
